informacoes_profissionais.nivel_profissional,formacao_e_idiomas.nivel_academico,formacao_e_idiomas.nivel_ingles,perfil_vaga.nivel profissional,perfil_vaga.nivel_academico,perfil_vaga.nivel_ingles,informacoes_profissionais.area_atuacao,perfil_vaga.areas_atuacao,informacoes_basicas.tipo_contratacao,match_nivel_profissional,match_nivel_academico,match_nivel_ingles,match_area_atuacao
,,,pleno,ensino técnico completo,nenhum,,gestão e alocação de recursos de ti-,pj/autônomo,0,0,0,0
,,,analista,pós graduação completo,básico,,ti - projetos-,"clt full, pj/autônomo",0,0,0,0
,ensino superior cursando,intermediário,assistente,ensino superior completo,nenhum,administrativa,administrativa-,clt full,0,0,0,0
,ensino superior completo,avançado,júnior,ensino médio completo,básico,ti - desenvolvimento/programação,financeira/controladoria-,cooperado,0,0,0,0
,,,sênior,ensino superior completo,nenhum,,ti - sistemas e ferramentas-,pj/autônomo,0,0,0,0
,ensino superior completo,básico,pleno,ensino médio completo,nenhum,ti - desenvolvimento/programação,comercial-,cooperado,0,0,0,0
,,,sênior,ensino superior completo,nenhum,,ti - desenvolvimento/programação-,,0,0,0,0
,,,pleno,ensino superior completo,intermediário,,ti - projetos-,pj/autônomo,0,0,0,0
,,,analista,ensino médio completo,básico,,ti - projetos-,hunting,0,0,0,0
,ensino superior cursando,avançado,sênior,ensino superior completo,nenhum,ti - sap,ti - sap-,pj/autônomo,0,0,0,0
,ensino superior cursando,básico,analista,ensino superior completo,básico,administrativa,administrativa-,clt full,0,0,1,0
,,,pleno,ensino superior completo,intermediário,,ti - desenvolvimento/programação-,,0,0,0,0
,ensino superior cursando,avançado,sênior,ensino superior completo,básico,ti - sap,ti - sap-,clt full,0,0,0,0
,pós graduação completo,avançado,analista,ensino superior completo,básico,financeira/controladoria,ti - projetos-,"clt full, pj/autônomo",0,0,0,0
,,,pleno,ensino superior completo,nenhum,,gestão e alocação de recursos de ti-,pj/autônomo,0,0,0,0
,mestrado completo,básico,sênior,ensino médio completo,básico,ti - desenvolvimento/programação,financeira/controladoria-,pj/autônomo,0,0,1,0
,,,sênior,ensino superior cursando,nenhum,,ti - projetos-,hunting,0,0,0,0
,,,pleno,ensino superior completo,avançado,,ti - projetos-,pj/autônomo,0,0,0,0
,,,analista,ensino médio completo,nenhum,,ti - sistemas e ferramentas-,cooperado,0,0,0,0
,,,analista,ensino superior completo,básico,,ti - desenvolvimento/programação-,hunting,0,0,0,0
,,,sênior,ensino médio completo,fluente,,ti - projetos-,pj/autônomo,0,0,0,0
,,,sênior,ensino superior completo,nenhum,,ti - sap-,pj/autônomo,0,0,0,0
,ensino superior completo,avançado,pleno,ensino técnico completo,nenhum,ti - qualidade/testes,gestão e alocação de recursos de ti-,pj/autônomo,0,0,0,0
,,,sênior,ensino superior completo,nenhum,,ti - desenvolvimento/programação-,pj/autônomo,0,0,0,0
,,,analista,ensino superior completo,básico,,ti - sap-,clt full,0,0,0,0
,,,sênior,ensino superior completo,básico,,ti - projetos-,"pj/autônomo, clt full",0,0,0,0
,,,sênior,ensino superior completo,intermediário,,ti - sistemas e ferramentas-,pj/autônomo,0,0,0,0
,mestrado cursando,avançado,sênior,ensino técnico completo,nenhum,ti - desenvolvimento/programação,ti - desenvolvimento/mobile-,clt full,0,0,0,0
,,,analista,ensino superior completo,básico,,ti - projetos-,"clt full, pj/autônomo",0,0,0,0
,,,analista,ensino superior completo,básico,,ti - projetos-,clt full,0,0,0,0
,,,analista,ensino superior completo,fluente,,ti - sap-,pj/autônomo,0,0,0,0
,pós graduação completo,avançado,sênior,ensino superior completo,nenhum,ti - sap,ti - sap-,pj/autônomo,0,0,0,0
,,,júnior,ensino superior completo,básico,,ti - projetos-,clt full,0,0,0,0
,,,sênior,ensino superior completo,nenhum,,ti - arquitetura-,clt full,0,0,0,0
,,,pleno,ensino médio completo,nenhum,,administrativa-,clt full,0,0,0,0
,,,especialista,ensino superior completo,avançado,,ti - projetos-,cooperado,0,0,0,0
,,,pleno,ensino técnico completo,nenhum,,gestão e alocação de recursos de ti-,pj/autônomo,0,0,0,0
,ensino superior completo,intermediário,sênior,ensino superior completo,avançado,,ti - desenvolvimento/mobile-,hunting,0,1,0,0
,ensino superior cursando,avançado,júnior,pós graduação cursando,intermediário,"administrativa, comercial, financeira/controladoria",recursos humanos-,clt full,0,0,0,0
,ensino superior completo,avançado,analista,ensino superior completo,avançado,"ti - projetos, ti - sap, ti - suporte",ti - sap-,"clt full, pj/autônomo",0,1,1,0
,ensino superior cursando,básico,pleno,ensino técnico completo,nenhum,"ti - infraestrutura, ti - suporte",gestão e alocação de recursos de ti-,pj/autônomo,0,0,0,0
,,,analista,ensino superior completo,básico,,ti - qualidade/testes-,"pj/autônomo, clt full",0,0,0,0
sênior,pós graduação completo,avançado,analista,ensino superior completo,avançado,"ti - processos e negócios, ti - projetos, ti - sistemas e ferramentas, ti - suporte",ti - projetos-,pj/autônomo,0,0,1,0
,,,sênior,ensino superior completo,básico,,ti - sap-,pj/autônomo,0,0,0,0
,pós graduação incompleto,avançado,sênior,ensino superior completo,básico,ti - sap,ti - sap-,pj/autônomo,0,0,0,0
,,,sênior,ensino superior completo,fluente,,ti - desenvolvimento/mobile-,pj/autônomo,0,0,0,0
,,,analista,ensino superior completo,básico,,ti - projetos-,"pj/autônomo, clt full",0,0,0,0
,,,pleno,ensino superior completo,nenhum,,ti - sap-,pj/autônomo,0,0,0,0
,,,analista,ensino superior completo,básico,,ti - projetos-,"clt full, pj/autônomo",0,0,0,0
,,,sênior,ensino superior completo,nenhum,,ti - sap-,cooperado,0,0,0,0
,,,sênior,ensino superior completo,nenhum,,ti - sap-,clt full,0,0,0,0
,,,pleno,ensino técnico completo,nenhum,,gestão e alocação de recursos de ti-,pj/autônomo,0,0,0,0
,ensino superior completo,avançado,sênior,ensino médio completo,nenhum,ti - projetos,gestão e alocação de recursos de ti-,pj/autônomo,0,0,0,0
,,,analista,ensino superior completo,básico,,ti - desenvolvimento/programação-,clt full,0,0,0,0
,ensino superior cursando,intermediário,sênior,ensino superior completo,avançado,ti - desenvolvimento/programação,ti - projetos-,pj/autônomo,0,0,0,0
,,,pleno,ensino superior completo,avançado,,ti - sap-,pj/autônomo,0,0,0,0
,,,analista,ensino superior completo,básico,,ti - projetos-,"clt full, pj/autônomo",0,0,0,0
,,,pleno,ensino técnico completo,nenhum,,gestão e alocação de recursos de ti-,clt full,0,0,0,0
,,,júnior,ensino superior cursando,nenhum,,ti - desenvolvimento/programação-,clt cotas,0,0,0,0
,ensino superior completo,avançado,analista,ensino superior completo,básico,gestão e alocação de recursos de ti,ti - projetos-,"pj/autônomo, clt full",0,1,0,0
,ensino superior completo,,especialista,ensino superior completo,básico,,ti - sap-,"clt full, pj/autônomo",0,1,0,0
,,,pleno,ensino médio completo,avançado,,gestão e alocação de recursos de ti-,pj/autônomo,0,0,0,0
,,,sênior,ensino superior completo,avançado,,ti - projetos-,hunting,0,0,0,0
,,,pleno,ensino técnico completo,nenhum,,gestão e alocação de recursos de ti-,hunting,0,0,0,0
,,,analista,ensino superior completo,fluente,,ti - sap-,"clt full, pj/autônomo",0,0,0,0
,pós graduação cursando,avançado,sênior,ensino técnico completo,nenhum,ti - projetos,ti - projetos-,pj/autônomo,0,0,0,0
,,,analista,ensino superior completo,avançado,,ti - projetos-,"clt full, pj/autônomo",0,0,0,0
,,,analista,ensino superior completo,nenhum,,administrativa-,clt full,0,0,0,0
,,,analista,ensino superior completo,avançado,,ti - projetos-,hunting,0,0,0,0
,,,analista,ensino superior completo,básico,,ti - processos e negócios-,clt full,0,0,0,0
,,,analista,ensino superior completo,básico,,ti - projetos-,clt full,0,0,0,0
,,,analista,ensino superior completo,fluente,,ti - projetos-,pj/autônomo,0,0,0,0
,,,analista,ensino superior completo,básico,,ti - projetos-,"clt full, pj/autônomo",0,0,0,0
,,,sênior,ensino superior completo,básico,,ti - projetos-,pj/autônomo,0,0,0,0
,ensino superior cursando,básico,analista,ensino superior completo,básico,ti - segurança da informação,ti - projetos-,"cooperado, pj/autônomo",0,0,1,0
,,,sênior,ensino superior completo,básico,,ti - projetos-,"pj/autônomo, clt full",0,0,0,0
,,,sênior,ensino superior completo,fluente,,ti - projetos-,pj/autônomo,0,0,0,0
,mestrado completo,avançado,sênior,ensino superior completo,básico,ti - sap,ti - sap-,pj/autônomo,0,0,0,0
,,,analista,ensino superior completo,fluente,,ti - projetos-,hunting,0,0,0,0
,,,pleno,ensino superior completo,avançado,,ti - projetos-,clt cotas,0,0,0,0
,,,pleno,ensino superior completo,nenhum,,gestão e alocação de recursos de ti-,pj/autônomo,0,0,0,0
,,,pleno,ensino superior completo,nenhum,,ti - projetos-,hunting,0,0,0,0
,,,sênior,ensino superior completo,nenhum,,ti - projetos-,hunting,0,0,0,0
,,,sênior,ensino superior completo,avançado,,ti - projetos-,pj/autônomo,0,0,0,0
,ensino superior incompleto,intermediário,sênior,ensino superior completo,fluente,ti - projetos,gestão e alocação de recursos de ti-,pj/autônomo,0,0,0,0
,,,assistente,ensino superior cursando,nenhum,,administrativa-recursos humanos-,clt full,0,0,0,0
,ensino fundamental incompleto,nenhum,sênior,ensino superior completo,básico,marketing,ti - sistemas e ferramentas-,,0,0,0,0
,,,analista,ensino superior completo,básico,,ti - projetos-,"clt full, pj/autônomo",0,0,0,0
,,,analista,ensino superior completo,básico,,ti - projetos-,"clt full, pj/autônomo",0,0,0,0
,pós graduação completo,avançado,pleno,ensino superior completo,avançado,ti - segurança da informação,novos negócios e parcerias-,pj/autônomo,0,0,1,0
,ensino superior incompleto,intermediário,analista,ensino superior completo,básico,ti - desenvolvimento/programação,ti - projetos-,"pj/autônomo, clt full",0,0,0,0
,,,sênior,ensino superior completo,nenhum,,ti - projetos-,hunting,0,0,0,0
,,,analista,ensino superior completo,básico,,ti - projetos-,pj/autônomo,0,0,0,0
,,,analista,ensino superior completo,intermediário,,ti - desenvolvimento/mobile-,,0,0,0,0
,,,analista,ensino superior completo,básico,,ti - projetos-,"clt full, pj/autônomo",0,0,0,0
,pós graduação completo,básico,júnior,ensino superior completo,básico,ti - sap,ti - sap-,clt full,0,0,1,0
,ensino superior completo,nenhum,analista,ensino superior cursando,básico,"administrativa, comercial",ti - projetos-,clt full,0,0,0,0
,,,analista,ensino superior completo,básico,,ti - desenvolvimento/programação-,clt full,0,0,0,0
,,,júnior,ensino médio completo,nenhum,,administrativa-,cooperado,0,0,0,0
,,,analista,ensino médio completo,básico,,ti - projetos-,"pj/autônomo, clt full",0,0,0,0
,,,sênior,ensino superior completo,nenhum,,gestão e alocação de recursos de ti-ti - sap-,pj/autônomo,0,0,0,0
,,,especialista,ensino superior completo,intermediário,,ti - sistemas e ferramentas-,pj/autônomo,0,0,0,0
,,,analista,ensino superior completo,básico,,ti - projetos-,"pj/autônomo, clt full",0,0,0,0
,pós graduação completo,básico,sênior,ensino superior completo,básico,ti - projetos,ti - projetos-,"clt full, pj/autônomo",0,0,1,0
,mestrado completo,fluente,sênior,ensino superior completo,avançado,ti - projetos,ti - sap-,pj/autônomo,0,0,0,0
,mestrado completo,avançado,analista,ensino superior completo,básico,administrativa,ti - projetos-,"clt full, pj/autônomo",0,0,0,0
,,,júnior,ensino superior completo,fluente,,ti - projetos-ti - sap-,cooperado,0,0,0,0
,,,pleno,ensino técnico completo,nenhum,,gestão e alocação de recursos de ti-ti - desenvolvimento/programação-,pj/autônomo,0,0,0,0
,,,analista,ensino superior completo,básico,,ti - projetos-,"pj/autônomo, clt full",0,0,0,0
,ensino superior completo,fluente,sênior,ensino superior completo,avançado,ti - arquitetura,ti - projetos-,hunting,0,1,0,0
,,,pleno,ensino superior completo,nenhum,,ti - sap-,cooperado,0,0,0,0
,ensino superior completo,intermediário,sênior,ensino médio completo,nenhum,ti - desenvolvimento/programação,administrativa-,clt full,0,0,0,0
,,,sênior,ensino superior completo,nenhum,,ti - sap-,pj/autônomo,0,0,0,0
,,,sênior,ensino superior completo,avançado,,ti - projetos-,pj/autônomo,0,0,0,0
,ensino superior cursando,intermediário,analista,ensino superior completo,básico,"gestão e alocação de recursos de ti, ti - desenvolvimento/programação, ti - infraestrutura, ti - suporte",ti - infraestrutura-,clt full,0,0,0,0
,ensino superior incompleto,avançado,pleno,ensino médio completo,intermediário,ti - qualidade/testes,administrativa-,pj/autônomo,0,0,0,0
,,,sênior,ensino superior completo,básico,,ti - projetos-,hunting,0,0,0,0
,,,sênior,ensino superior completo,básico,,ti - projetos-,hunting,0,0,0,0
,,,assistente,ensino médio completo,básico,,administrativa-,,0,0,0,0
,,,pleno,ensino superior completo,fluente,,ti - sap-,,0,0,0,0
,,,sênior,ensino superior completo,básico,,ti - projetos-,"clt full, pj/autônomo",0,0,0,0
,ensino superior completo,básico,sênior,ensino superior completo,avançado,ti - sap,ti - sap-,pj/autônomo,0,1,0,0
,,,sênior,ensino superior completo,básico,,ti - desenvolvimento/programação-,hunting,0,0,0,0
,,,pleno,ensino técnico completo,nenhum,,gestão e alocação de recursos de ti-,pj/autônomo,0,0,0,0
,,,pleno,ensino técnico completo,nenhum,,gestão e alocação de recursos de ti-,pj/autônomo,0,0,0,0
,mestrado completo,fluente,analista,ensino superior completo,avançado,ti - projetos,ti - projetos-,"pj/autônomo, clt full",0,0,0,0
,,,analista,ensino superior completo,básico,,ti - projetos-,"clt full, pj/autônomo",0,0,0,0
,ensino superior completo,básico,sênior,ensino superior completo,nenhum,ti - sap,ti - sap-,clt full,0,1,0,0
,,,analista,ensino superior completo,básico,,ti - sap-,clt full,0,0,0,0
,,,pleno,ensino técnico completo,nenhum,,gestão e alocação de recursos de ti-,pj/autônomo,0,0,0,0
,,,sênior,ensino médio completo,nenhum,,ti - sap-,pj/autônomo,0,0,0,0
,,,analista,ensino superior completo,fluente,,ti - desenvolvimento/programação-,clt full,0,0,0,0
,,,pleno,ensino superior completo,avançado,,ti - projetos-,hunting,0,0,0,0
,,,sênior,ensino médio completo,fluente,,ti - projetos-ti - sap-,pj/autônomo,0,0,0,0
,ensino superior completo,intermediário,sênior,ensino técnico completo,nenhum,ti - projetos,ti - projetos-,pj/autônomo,0,0,0,0
,,,sênior,ensino superior completo,intermediário,,ti - projetos-,clt full,0,0,0,0
,,,pleno,ensino técnico completo,intermediário,,gestão e alocação de recursos de ti-,pj/autônomo,0,0,0,0
,pós graduação completo,avançado,sênior,ensino superior completo,avançado,ti - arquitetura,ti - projetos-ti - sap-,"clt full, pj/autônomo",0,0,1,0
,,,sênior,ensino superior completo,fluente,,ti - projetos-,pj/autônomo,0,0,0,0
,,,analista,ensino superior completo,fluente,,ti - projetos-,pj/autônomo,0,0,0,0
,pós graduação completo,fluente,sênior,ensino médio completo,nenhum,ti - desenvolvimento/programação,financeira/controladoria-,pj/autônomo,0,0,0,0
,,,sênior,ensino superior completo,básico,,ti - sap-,clt full,0,0,0,0
,,,analista,ensino superior completo,avançado,,ti - projetos-,pj/autônomo,0,0,0,0
,pós graduação completo,avançado,analista,ensino superior completo,básico,"comercial, novos negócios e parcerias, ti - processos e negócios, ti - projetos",ti - projetos-,pj/autônomo,0,0,0,0
,pós graduação incompleto,intermediário,pleno,ensino médio completo,fluente,recursos humanos,ti - projetos-,clt full,0,0,0,0
,,,analista,ensino superior completo,básico,,ti - projetos-,"pj/autônomo, clt full",0,0,0,0
,,,sênior,ensino superior completo,avançado,,ti - sap-,pj/autônomo,0,0,0,0
,,,analista,ensino técnico completo,nenhum,,administrativa-financeira/controladoria-,clt full,0,0,0,0
,,,pleno,ensino superior completo,avançado,,ti - desenvolvimento/programação-,clt full,0,0,0,0
,pós graduação completo,intermediário,analista,ensino superior completo,básico,ti - desenvolvimento/programação,ti - projetos-,hunting,0,0,0,0
,ensino técnico completo,intermediário,pleno,ensino técnico completo,nenhum,ti - qualidade/testes,gestão e alocação de recursos de ti-,pj/autônomo,0,1,0,0
,,,analista,ensino superior completo,básico,,ti - projetos-,"pj/autônomo, clt full",0,0,0,0
,,,pleno,ensino superior completo,técnico,,ti - desenvolvimento/programação-,hunting,0,0,0,0
,ensino superior completo,básico,analista,ensino superior completo,intermediário,ti - projetos,ti - sap-,"clt full, clt cotas, cooperado, estagiário",0,1,0,0
,,,pleno,ensino superior cursando,nenhum,,ti - desenvolvimento/programação-,"clt full, clt cotas, cooperado, pj/autônomo",0,0,0,0
,,,sênior,ensino superior completo,fluente,,ti - projetos-,pj/autônomo,0,0,0,0
,,,especialista,ensino médio completo,nenhum,,administrativa-,cooperado,0,0,0,0
,ensino superior completo,intermediário,especialista,pós graduação cursando,básico,ti - desenvolvimento/programação,ti - projetos-,"pj/autônomo, clt full",0,0,0,0
,pós graduação completo,avançado,pleno,ensino superior completo,avançado,"ti - governança, ti - infraestrutura",gestão e alocação de recursos de ti-,pj/autônomo,0,0,1,0
,ensino superior completo,fluente,sênior,ensino médio completo,nenhum,ti - banco de dados,gestão e alocação de recursos de ti-,cooperado,0,0,0,0
,,,analista,ensino superior completo,básico,,ti - desenvolvimento/mobile-,clt full,0,0,0,0
,ensino superior completo,nenhum,analista,ensino superior completo,básico,recursos humanos,recursos humanos-,clt full,0,1,0,0
,,,sênior,ensino superior completo,avançado,,ti - sap-,pj/autônomo,0,0,0,0
,,,sênior,ensino superior completo,avançado,,ti - suporte-,hunting,0,0,0,0
,,,pleno,ensino superior completo,básico,,ti - projetos-,"clt full, pj/autônomo",0,0,0,0
,,,analista,ensino superior completo,básico,,ti - desenvolvimento/programação-,"clt cotas, cooperado",0,0,0,0
,,,sênior,ensino médio completo,avançado,,financeira/controladoria-,pj/autônomo,0,0,0,0
,ensino superior completo,intermediário,sênior,ensino superior completo,nenhum,"ti - desenvolvimento/design, ti - ux",ti - desenvolvimento/design-,,0,1,0,0
,,,sênior,ensino superior cursando,intermediário,,ti - sap-,pj/autônomo,0,0,0,0
,,,sênior,ensino superior completo,fluente,,ti - projetos-,hunting,0,0,0,0
,,,analista,ensino superior completo,fluente,,ti - sap-,"pj/autônomo, clt full",0,0,0,0
,pós graduação completo,intermediário,analista,ensino superior completo,básico,comercial,ti - projetos-,,0,0,0,0
,,,sênior,ensino superior completo,nenhum,,ti - sap-,clt full,0,0,0,0
,,,sênior,ensino superior completo,intermediário,,ti - projetos-,pj/autônomo,0,0,0,0
,,,analista,ensino superior completo,básico,,ti - projetos-,hunting,0,0,0,0
,,,analista,ensino superior completo,básico,,ti - desenvolvimento/programação-,hunting,0,0,0,0
,pós graduação completo,fluente,supervisor,ensino superior completo,básico,ti - governança,ti - projetos-,clt full,0,0,0,0
,,,sênior,ensino superior completo,fluente,,ti - processos e negócios-,,0,0,0,0
,,,sênior,ensino superior completo,intermediário,,ti - sap-,clt full,0,0,0,0
,,,analista,ensino superior completo,básico,,ti - projetos-,"clt full, pj/autônomo",0,0,0,0
,,,pleno,ensino superior completo,básico,,ti - sistemas e ferramentas-,,0,0,0,0
,,,pleno,ensino superior completo,básico,,ti - projetos-,"pj/autônomo, clt full",0,0,0,0
,,,sênior,ensino superior completo,avançado,,ti - processos e negócios-,pj/autônomo,0,0,0,0
,,,pleno,ensino superior completo,nenhum,,ti - sap-,clt full,0,0,0,0
,,,analista,ensino superior completo,básico,,ti - projetos-,"clt full, pj/autônomo",0,0,0,0
,,,analista,ensino superior completo,básico,,ti - projetos-,"clt full, pj/autônomo",0,0,0,0
sênior,ensino superior completo,intermediário,analista,ensino superior completo,básico,,ti - projetos-,"clt full, pj/autônomo",0,1,0,0
,,,sênior,ensino superior completo,avançado,,ti - sistemas e ferramentas-,clt full,0,0,0,0
,,,analista,ensino superior completo,básico,,ti - projetos-,"pj/autônomo, clt full",0,0,0,0
sênior,pós graduação completo,básico,sênior,ensino médio completo,nenhum,ti - desenvolvimento/programação,administrativa-,clt full,1,0,0,0
,,,sênior,ensino superior completo,avançado,,ti - projetos-,hunting,0,0,0,0
,,,sênior,ensino superior cursando,avançado,,ti - sap-,"pj/autônomo, clt full",0,0,0,0
,,,analista,ensino superior completo,básico,,ti - suporte-,"cooperado, pj/autônomo",0,0,0,0
,,,assistente,ensino médio completo,nenhum,,administrativa-,clt full,0,0,0,0
,,,sênior,ensino superior completo,avançado,,ti - sap-,"clt full, pj/autônomo",0,0,0,0
,,,sênior,ensino superior cursando,fluente,,ti - sap-,cooperado,0,0,0,0
,,,analista,ensino superior completo,básico,,ti - sap-,pj/autônomo,0,0,0,0
,,,analista,ensino superior completo,básico,,ti - projetos-,"pj/autônomo, clt full",0,0,0,0
,ensino superior completo,fluente,sênior,ensino superior completo,fluente,ti - projetos,gestão e alocação de recursos de ti-,cooperado,0,1,1,0
,pós graduação completo,avançado,pleno,ensino superior completo,avançado,ti - sap,ti - sap-,pj/autônomo,0,0,1,0
,,,sênior,ensino superior completo,nenhum,,ti - sap-,cooperado,0,0,0,0
,,,sênior,ensino superior completo,avançado,,ti - projetos-,hunting,0,0,0,0
,,,pleno,ensino superior completo,avançado,,ti - projetos-,pj/autônomo,0,0,0,0
,ensino superior incompleto,intermediário,sênior,ensino superior completo,intermediário,ti - sap,ti - sap-,hunting,0,0,1,0
,,,analista,ensino superior completo,básico,,ti - projetos-,"clt full, pj/autônomo",0,0,0,0
,pós graduação completo,avançado,sênior,ensino superior completo,fluente,"ti - arquitetura, ti - banco de dados, ti - desenvolvimento/programação, ti - processos e negócios",ti - sistemas e ferramentas-,,0,0,0,0
,pós graduação completo,básico,pleno,ensino superior cursando,nenhum,"ti - infraestrutura, ti - segurança da informação, ti - suporte",ti - projetos-,hunting,0,0,0,0
,,,analista,ensino superior completo,básico,,ti - sap-,"clt cotas, cooperado, estagiário, pj/autônomo",0,0,0,0
,,,especialista,ensino superior completo,básico,,ti - sap-,pj/autônomo,0,0,0,0
,,,sênior,ensino médio completo,avançado,,ti - projetos-,pj/autônomo,0,0,0,0
,ensino superior completo,básico,pleno,ensino médio completo,nenhum,ti - desenvolvimento/programação,administrativa-,cooperado,0,0,0,0
,,,pleno,ensino superior completo,nenhum,,ti - projetos-,hunting,0,0,0,0
,,,sênior,ensino médio completo,avançado,,gestão e alocação de recursos de ti-,pj/autônomo,0,0,0,0
,ensino superior completo,básico,analista,ensino superior completo,básico,ti - infraestrutura,ti - projetos-,"clt full, pj/autônomo",0,1,1,0
,,,analista,ensino superior completo,básico,,recursos humanos-,clt cotas,0,0,0,0
,,,júnior,ensino superior completo,intermediário,,ti - projetos-,hunting,0,0,0,0
,,,pleno,ensino superior completo,básico,,ti - projetos-,hunting,0,0,0,0
,,,sênior,ensino superior completo,avançado,,ti - projetos-,pj/autônomo,0,0,0,0
,ensino superior completo,intermediário,analista,ensino superior completo,básico,ti - projetos,ti - projetos-,clt full,0,1,0,0
,,,pleno,ensino técnico completo,nenhum,,gestão e alocação de recursos de ti-,pj/autônomo,0,0,0,0
,pós graduação completo,intermediário,analista,ensino superior completo,básico,financeira/controladoria,ti - projetos-,"clt full, pj/autônomo",0,0,0,0
,pós graduação completo,avançado,sênior,ensino superior completo,nenhum,"ti - desenvolvimento/programação, ti - processos e negócios, ti - segurança da informação, ti - sistemas e ferramentas",gestão e alocação de recursos de ti-,clt full,0,0,0,0
,,,especialista,ensino superior completo,intermediário,,ti - sap-,pj/autônomo,0,0,0,0
,mestrado incompleto,intermediário,pleno,ensino técnico completo,nenhum,"ti - governança, ti - infraestrutura, ti - segurança da informação",gestão e alocação de recursos de ti-,clt cotas,0,0,0,0
,,,analista,ensino superior completo,básico,,ti - sap-,"clt full, pj/autônomo",0,0,0,0
,,,analista,ensino médio completo,básico,,ti - projetos-,hunting,0,0,0,0
,,,pleno,ensino superior completo,avançado,,ti - sistemas e ferramentas-,clt full,0,0,0,0
,ensino superior completo,,sênior,ensino médio completo,nenhum,,administrativa-,pj/autônomo,0,0,0,0
,,,analista,ensino superior completo,básico,,ti - desenvolvimento/programação-,clt full,0,0,0,0
,,,analista,ensino superior completo,básico,,ti - projetos-,"pj/autônomo, clt full",0,0,0,0
,pós graduação cursando,fluente,analista,ensino superior completo,básico,ti - segurança da informação,ti - segurança da informação-,"pj/autônomo, clt full",0,0,0,0
,,,sênior,ensino superior completo,fluente,,ti - sap-,"clt full, pj/autônomo",0,0,0,0
,ensino superior incompleto,avançado,pleno,ensino superior completo,avançado,ti - desenvolvimento/design,ti - projetos-,pj/autônomo,0,0,1,0
,,,sênior,ensino médio completo,fluente,,ti - projetos-,pj/autônomo,0,0,0,0
,,,pleno,ensino técnico completo,nenhum,,gestão e alocação de recursos de ti-,pj/autônomo,0,0,0,0
,,,pleno,ensino superior completo,fluente,,ti - desenvolvimento/programação-,clt full,0,0,0,0
,,,pleno,ensino superior completo,técnico,,ti - desenvolvimento/programação-,hunting,0,0,0,0
,ensino superior completo,intermediário,analista,ensino médio completo,nenhum,administrativa,administrativa-financeira/controladoria-,clt full,0,0,0,0
,pós graduação completo,intermediário,pleno,ensino técnico completo,nenhum,financeira/controladoria,gestão e alocação de recursos de ti-,pj/autônomo,0,0,0,0
,,,pleno,ensino superior completo,nenhum,,ti - desenvolvimento/programação-,clt full,0,0,0,0
,ensino superior completo,intermediário,analista,ensino superior completo,básico,"comercial, novos negócios e parcerias",ti - projetos-,,0,1,0,0
,pós graduação completo,avançado,sênior,ensino superior completo,básico,"ti - arquitetura, ti - infraestrutura, ti - ux",ti - projetos-,"clt full, pj/autônomo",0,0,0,0
,,,analista,ensino superior completo,básico,,ti - projetos-,"clt full, pj/autônomo",0,0,0,0
,,,analista,ensino superior completo,básico,,ti - desenvolvimento/programação-,clt full,0,0,0,0
,,,analista,ensino superior completo,básico,,ti - sap-,"clt full, pj/autônomo",0,0,0,0
,ensino superior completo,intermediário,analista,ensino superior completo,básico,ti - desenvolvimento/programação,ti - desenvolvimento/programação-,"pj/autônomo, clt full",0,1,0,0
,,,sênior,ensino superior completo,nenhum,,gestão e alocação de recursos de ti-ti - sap-,pj/autônomo,0,0,0,0
,,,sênior,ensino superior completo,avançado,,ti - projetos-,pj/autônomo,0,0,0,0
,,,sênior,ensino médio completo,avançado,,ti - projetos-,pj/autônomo,0,0,0,0
,,,pleno,ensino superior completo,intermediário,,ti - desenvolvimento/mobile-,clt full,0,0,0,0
,,,pleno,ensino superior completo,nenhum,,gestão e alocação de recursos de ti-,hunting,0,0,0,0
,,,pleno,ensino médio completo,avançado,,financeira/controladoria-,pj/autônomo,0,0,0,0
,,,sênior,ensino superior completo,fluente,,ti - projetos-,pj/autônomo,0,0,0,0
,pós graduação completo,,sênior,ensino superior completo,básico,,ti - projetos-,"pj/autônomo, cooperado",0,0,0,0
,,,sênior,ensino superior completo,básico,,ti - sap-,"clt full, pj/autônomo",0,0,0,0
,,,analista,ensino superior completo,básico,,ti - projetos-,"clt full, pj/autônomo",0,0,0,0
,ensino superior incompleto,avançado,analista,ensino superior completo,básico,ti - sap,ti - sap-,"pj/autônomo, clt full",0,0,0,0
,,,sênior,ensino superior completo,avançado,,ti - projetos-,pj/autônomo,0,0,0,0
,,,sênior,ensino superior completo,avançado,,ti - sap-,pj/autônomo,0,0,0,0
,,,pleno,ensino técnico completo,nenhum,,gestão e alocação de recursos de ti-,pj/autônomo,0,0,0,0
,,,analista,ensino superior completo,avançado,,ti - sap-,pj/autônomo,0,0,0,0
,,,júnior,ensino técnico completo,fluente,,ti - sap-,clt full,0,0,0,0
,,,sênior,ensino superior completo,básico,,ti - projetos-,clt full,0,0,0,0
,,,sênior,ensino superior completo,nenhum,,ti - sap-,pj/autônomo,0,0,0,0
,pós graduação completo,intermediário,analista,ensino superior completo,básico,ti - qualidade/testes,ti - projetos-,"clt full, pj/autônomo",0,0,0,0
,,,assistente,ensino médio completo,nenhum,,administrativa-,clt full,0,0,0,0
,,,pleno,ensino superior completo,avançado,,ti - governança-,"clt full, clt cotas, cooperado, pj/autônomo",0,0,0,0
